Type	authors	year	meeting_start	meeting_end	title	journal	volume	pages	presentation_type	meeting_name	meeting_location	award	lat	long	presented_by	url
journal	Isogai S, Athiviraham A, Fraser R, Taha R, Hamid Q, Martin J	2007	na	na	Interferon-g-dependent inhibition of late allergic airway responses and eosinophilia by CD8+gƍ T-cells	Immunology	122	230-8	na	na	na	na	na	na	na	http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2567.2007.02632.x/full
journal	Silvertown JD, Fraser R, Poterski RS, Geddes B, Summerlee AJS	2005	na	na	Central Effects of Long-Term Relaxin Expression in the Rat	Ann. N.Y. Acad. Sci.	1041	1-7	na	na	na	na	na	na	na	http://onlinelibrary.wiley.com/doi/10.1196/annals.1282.033/abstract
other	Prescott, JF, Menzies, PI, Fraser, RS	2016	na	na	Clostridial abomasitis. In: Uzal, F, Songer, JG, Popoff, M, Prescott, JF. Clostridial infections of animals. Wiley-Blackwell (2016)		na		na	na	na	na	na	na	na	na
conference	Fraser, RS, Snyman, HN, Hammermueller, JD, Meyer, A, Lumsden, JS, Arroyo LH, Hayes, MA, Lillie BN.	2016	2016-12-03	2016-12-07	Utilization of high-throughput technologies to investigate the pathogenomics of infectious disease susceptibility in livestock.	na	na	na	poster	2016 ACVP and ASCVP Concurrent Annual Meeting	New Orleans, Lousiana, U.S.A.	yes	29.949572	-90.076397	R. Fraser	na
conference	Fraser, RS, Snyman, HN, Meyer, A, Hammermueller, JD, Lillie, BN	2016	2016-11-16	na	Next-generation sequencing driven identification of expression quantitative trait loci in the porcine innate immunome.	na	na	na	talk	Graduate Student Research Symposium	Guelph, Ontario, Canada	no	43.531282	-80.232279	R. Fraser	na
conference	Fraser, RS, Meyer, A, Snyman, HN, Hammermueller, JD, Hayes, MA, Lillie, BN	2016	2016-10-4	na	Expression quantitative trait locus analysis of porcine innate immune genes.	na	na	na	poster	geXc Toronto 2016 Symposia	Toronto, Ontario, Canada	no	43.659075	-79.387707	R. Fraser	na
conference	Fraser, RS, Meyer, A, Arroyo, LG, Hammermueller, JD, Lillie, BN.	2016	2016-07-24	2016-07-28	Identification of novel genetic variants in the equine collagenous lectin genes through targeted, next-generation re-sequencing.	na	na	na	talk	35th International Society for Animal Genetics Conference	Salt Lake City, Utah, U.S.A.	no	40.764022	-111.892763	R. Fraser	na
conference	Fraser, RS, Hammermueller, JD, Lumsden, JS, Hayes, MA, Lillie, BN	2016	2016-07-24	2016-07-28	Use of targeted next-generation re-sequencing in the identification of polymorphisms in the bovine collagenous lectin gene family.	na	na	na	poster	35th International Society for Animal Genetics Conference	Salt Lake City, Utah, U.S.A.	no	40.764022	-111.892763	R. Fraser	na
conference	Fraser, RS, Snyman HN, Meyer, A, Hammermueller, JD, Lillie, BN	2016	2016-04-05	na	Identification of germline variants in porcine innate immune genes using next-generation sequencing.	na	na	na	talk	Swine Research Day	Guelph, Ontario, Canada	yes	43.531282	-80.232279	R. Fraser	na
conference	Fraser, RS, Hammermueller, JD, Meyer, A, Lillie, BN	2015	2015-11-18	na	Investigating infectious disease susceptibility in horses through targeted next-generation resequencing of the collagenous lectin gene family.	na	na	na	talk	Graduate Student Research Symposium	Guelph, Ontario, Canada	no	43.531282	-80.232279	R. Fraser	na
conference	Fraser, RS, Meyer, A, Hammermueller, JD, Lillie, BN	2015	2015-10-22	na	Identification of defects in equine innate infectious disease resistance through targeted resequencing of the collagenous lectin gene family.	na	na	na	poster	Toronto NGS Symposium	Toronto, Ontario, Canada	no	43.659075	-79.387707	R. Fraser	na
conference	Dienst, KA, Fraser, RS, Hammermueller, JD, Lillie, BN	2014	2014-08-12	na	Investigating mechanisms of genetic regulation of pattern recognition receptor mediated innate disease resistance in domestic animals.	na	na	na	poster	SLRP Research Session	Guelph, Ontario, Canada	no	43.531282	-80.232279	K. Dienst	na
conference	Reynolds, KE, Fraser, RS, Hammermueller, JD, Lillie, BN	2013	2013-08-13	na	Identification and tissue localization of equine and bovine collagenous lectins.	na	na	na	poster	SLRP Research Session	Guelph, Ontario, Canada	no	43.531282	-80.232279	K. Reynolds	na
conference	Fraser, RS, Föglein, A, Jagger, BW, Wise, HM, Taubenberger, JK, Digard, P	2013	2013-06-06	na	Influence of charge at residue 627 of PB2 on polymerase function in influenza A.	na	na	na	poster	Centre for Public Health and Zoonoses Scientific Symposium	Guelph, Ontario, Canada	no	43.526000	-80.224447	R. Fraser	na
conference	Fraser, RS, Föglein, A, Jagger, BW, Wise, HM, Taubenberger, JK, Digard, P	2012	2012-09-12	2012-09-22	Influence of charge at residue 627 of PB2 on polymerase function in influenza A.	na	na	na	poster	6th Orthomyxovirus Research Conference	Montreal, Quebec, Canada	no	45.304990	-72.63734	R. Fraser	na
